 INFO [2011-04-05 21:07:07,787] - Starting up
 INFO [2011-04-05 21:07:09,059] - Transaction factory: NHibernate.Transaction.AdoNetWithDistributedTransactionFactory
 INFO [2011-04-05 21:07:09,059] - Optimize cache for minimal puts: False
 INFO [2011-04-05 21:07:09,059] - Connection release mode: auto
 INFO [2011-04-05 21:07:09,059] - Default batch fetch size: 1
 INFO [2011-04-05 21:07:09,059] - Statistics: disabled
 INFO [2011-04-05 21:07:09,059] - Deleted entity synthetic identifier rollback: disabled
 INFO [2011-04-05 21:07:09,059] - Query translator: NHibernate.Hql.Ast.ANTLR.ASTQueryTranslatorFactory
 INFO [2011-04-05 21:07:09,061] - Query language substitutions: {}
 INFO [2011-04-05 21:07:09,061] - cache provider: NHibernate.Cache.NoCacheProvider, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
DEBUG [2011-04-05 21:07:09,061] - Wrap result sets: disabled
 INFO [2011-04-05 21:07:09,062] - Batcher factory: NHibernate.AdoNet.NonBatchingBatcherFactory, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
 INFO [2011-04-05 21:07:09,062] - Default entity-mode: Poco
 INFO [2011-04-05 21:07:09,062] - Named query checking : enabled
 INFO [2011-04-05 21:07:09,080] - building session factory
DEBUG [2011-04-05 21:07:09,081] - Session factory constructed with filter configurations : {}
DEBUG [2011-04-05 21:07:09,081] - instantiating session factory with properties: {'connection.provider'='NHibernate.Connection.DriverConnectionProvider', 'proxyfactory.factory_class'='NHibernate.ByteCode.Castle.ProxyFactoryFactory, NHibernate.ByteCode.Castle', 'connection.driver_class'='NHibernate.Driver.SqlClientDriver, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'dialect'='NHibernate.Dialect.MsSql2008Dialect, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'hibernate.dialect'='NHibernate.Dialect.MsSql2008Dialect, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'connection.connection_string'='Data Source=(local);Initial Catalog=NHibernateTest;Integrated Security=SSPI;'}
DEBUG [2011-04-05 21:07:09,082] - Obtaining IDbConnection from Driver
DEBUG [2011-04-05 21:07:09,091] - Closing connection
DEBUG [2011-04-05 21:07:09,093] - initializing class SessionFactoryObjectFactory
DEBUG [2011-04-05 21:07:09,093] - registered: a40c6c9d56364b669ae4d551a325fafa(unnamed)
 INFO [2011-04-05 21:07:09,094] - no name configured
DEBUG [2011-04-05 21:07:09,094] - Instantiated session factory
DEBUG [2011-04-05 21:07:09,098] - Checking 0 named HQL queries
DEBUG [2011-04-05 21:07:09,098] - Checking 0 named SQL queries
DEBUG [2011-04-05 21:07:09,110] - [session-id=d812917c-24db-4fe8-8005-4ca73c07cb75] opened session at timestamp: 634376344290, for session factory: [/a40c6c9d56364b669ae4d551a325fafa]
DEBUG [2011-04-05 21:07:09,951] - unable to locate HQL query plan in cache; generating (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:07:10,234] - located HQL query plan in cache (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:07:10,236] - find: NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar]
DEBUG [2011-04-05 21:07:10,237] - named parameters: {}
DEBUG [2011-04-05 21:07:10,238] - after autocommit
DEBUG [2011-04-05 21:07:10,238] - transaction completion
DEBUG [2011-04-05 21:07:10,239] - aggressively releasing database connection
 INFO [2011-04-05 21:34:30,741] - Starting up
 INFO [2011-04-05 21:34:31,835] - NHibernate 3.1.0.4000 (3.1.0.4000)
 INFO [2011-04-05 21:34:31,836] - hibernate-configuration section not found in application configuration file
 INFO [2011-04-05 21:34:31,837] - Bytecode provider name : lcg
 INFO [2011-04-05 21:34:31,837] - Using reflection optimizer
 INFO [2011-04-05 21:35:16,817] - Starting up
 INFO [2011-04-05 21:35:17,858] - NHibernate 3.1.0.4000 (3.1.0.4000)
 INFO [2011-04-05 21:35:17,859] - hibernate-configuration section not found in application configuration file
 INFO [2011-04-05 21:35:17,859] - Bytecode provider name : lcg
 INFO [2011-04-05 21:35:17,860] - Using reflection optimizer
 INFO [2011-04-05 21:35:17,945] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:35:17,963] - checking mappings queue
 INFO [2011-04-05 21:35:17,963] - processing one-to-many association mappings
 INFO [2011-04-05 21:35:17,963] - processing one-to-one association property references
 INFO [2011-04-05 21:35:17,963] - processing foreign key constraints
 INFO [2011-04-05 21:35:17,963] - processing filters (second pass)
 INFO [2011-04-05 21:35:17,969] - checking mappings queue
 INFO [2011-04-05 21:35:17,969] - processing one-to-many association mappings
 INFO [2011-04-05 21:35:17,969] - processing one-to-one association property references
 INFO [2011-04-05 21:35:17,969] - processing foreign key constraints
 INFO [2011-04-05 21:35:17,969] - processing filters (second pass)
 INFO [2011-04-05 21:35:17,970] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:35:17,971] - Configuring ConnectionProvider
DEBUG [2011-04-05 21:35:17,972] - Obtaining IDbConnection from Driver
DEBUG [2011-04-05 21:35:17,980] - Closing connection
DEBUG [2011-04-05 21:35:17,980] - Disposing of ConnectionProvider.
 INFO [2011-04-05 21:35:17,982] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:35:17,983] - Running hbm2ddl schema update
 INFO [2011-04-05 21:35:17,983] - fetching database metadata
 INFO [2011-04-05 21:35:17,984] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:35:17,984] - Configuring ConnectionProvider
DEBUG [2011-04-05 21:35:17,984] - Obtaining IDbConnection from Driver
 INFO [2011-04-05 21:35:17,985] - updating schema
 INFO [2011-04-05 21:35:17,989] - checking mappings queue
 INFO [2011-04-05 21:35:17,989] - processing one-to-many association mappings
 INFO [2011-04-05 21:35:17,989] - processing one-to-one association property references
 INFO [2011-04-05 21:35:17,989] - processing foreign key constraints
 INFO [2011-04-05 21:35:17,989] - processing filters (second pass)
 INFO [2011-04-05 21:35:17,989] - schema update complete
DEBUG [2011-04-05 21:35:17,989] - Closing connection
 INFO [2011-04-05 21:35:17,990] - checking mappings queue
 INFO [2011-04-05 21:35:17,990] - processing one-to-many association mappings
 INFO [2011-04-05 21:35:17,990] - processing one-to-one association property references
 INFO [2011-04-05 21:35:17,990] - processing foreign key constraints
 INFO [2011-04-05 21:35:17,990] - processing filters (second pass)
 INFO [2011-04-05 21:35:18,004] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:35:18,027] - Using dialect defined converter
 INFO [2011-04-05 21:35:18,027] - Generate SQL with comments: disabled
 INFO [2011-04-05 21:35:18,028] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:35:18,028] - Configuring ConnectionProvider
 INFO [2011-04-05 21:35:18,028] - Transaction factory: NHibernate.Transaction.AdoNetWithDistributedTransactionFactory
 INFO [2011-04-05 21:35:18,028] - Optimize cache for minimal puts: False
 INFO [2011-04-05 21:35:18,028] - Connection release mode: auto
 INFO [2011-04-05 21:35:18,028] - Default batch fetch size: 1
 INFO [2011-04-05 21:35:18,028] - Statistics: disabled
 INFO [2011-04-05 21:35:18,028] - Deleted entity synthetic identifier rollback: disabled
 INFO [2011-04-05 21:35:18,029] - Query translator: NHibernate.Hql.Ast.ANTLR.ASTQueryTranslatorFactory
 INFO [2011-04-05 21:35:18,030] - Query language substitutions: {}
 INFO [2011-04-05 21:35:18,031] - cache provider: NHibernate.Cache.NoCacheProvider, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
DEBUG [2011-04-05 21:35:18,031] - Wrap result sets: disabled
 INFO [2011-04-05 21:35:18,032] - Batcher factory: NHibernate.AdoNet.NonBatchingBatcherFactory, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
 INFO [2011-04-05 21:35:18,032] - Default entity-mode: Poco
 INFO [2011-04-05 21:35:18,032] - Named query checking : enabled
 INFO [2011-04-05 21:35:18,051] - building session factory
DEBUG [2011-04-05 21:35:18,051] - Session factory constructed with filter configurations : {}
DEBUG [2011-04-05 21:35:18,052] - instantiating session factory with properties: {'connection.provider'='NHibernate.Connection.DriverConnectionProvider', 'proxyfactory.factory_class'='NHibernate.ByteCode.Castle.ProxyFactoryFactory, NHibernate.ByteCode.Castle', 'connection.driver_class'='NHibernate.Driver.SqlClientDriver, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'dialect'='NHibernate.Dialect.MsSql2008Dialect, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'hibernate.dialect'='NHibernate.Dialect.MsSql2008Dialect, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'connection.connection_string'='Data Source=(local);Initial Catalog=NHibernateTest;Integrated Security=SSPI;'}
DEBUG [2011-04-05 21:35:18,053] - Obtaining IDbConnection from Driver
DEBUG [2011-04-05 21:35:18,062] - Closing connection
DEBUG [2011-04-05 21:35:18,065] - initializing class SessionFactoryObjectFactory
DEBUG [2011-04-05 21:35:18,065] - registered: 1377d827222e4fa3a51ff69579142b79(unnamed)
 INFO [2011-04-05 21:35:18,065] - no name configured
DEBUG [2011-04-05 21:35:18,065] - Instantiated session factory
DEBUG [2011-04-05 21:35:18,070] - Checking 0 named HQL queries
DEBUG [2011-04-05 21:35:18,070] - Checking 0 named SQL queries
DEBUG [2011-04-05 21:35:18,082] - [session-id=726926f0-6898-43fc-b6f3-9badfb103e83] opened session at timestamp: 634376361180, for session factory: [/1377d827222e4fa3a51ff69579142b79]
DEBUG [2011-04-05 21:35:18,741] - unable to locate HQL query plan in cache; generating (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:35:18,967] - located HQL query plan in cache (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:35:18,969] - find: NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar]
DEBUG [2011-04-05 21:35:18,970] - named parameters: {}
DEBUG [2011-04-05 21:35:18,971] - after autocommit
DEBUG [2011-04-05 21:35:18,971] - transaction completion
DEBUG [2011-04-05 21:35:18,972] - aggressively releasing database connection
 INFO [2011-04-05 21:36:22,327] - Starting up
 INFO [2011-04-05 21:36:23,366] - NHibernate 3.1.0.4000 (3.1.0.4000)
 INFO [2011-04-05 21:36:23,367] - hibernate-configuration section not found in application configuration file
 INFO [2011-04-05 21:36:23,367] - Bytecode provider name : lcg
 INFO [2011-04-05 21:36:23,368] - Using reflection optimizer
 INFO [2011-04-05 21:36:23,457] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:36:23,474] - checking mappings queue
 INFO [2011-04-05 21:36:23,475] - processing one-to-many association mappings
 INFO [2011-04-05 21:36:23,475] - processing one-to-one association property references
 INFO [2011-04-05 21:36:23,475] - processing foreign key constraints
 INFO [2011-04-05 21:36:23,475] - processing filters (second pass)
 INFO [2011-04-05 21:36:23,481] - checking mappings queue
 INFO [2011-04-05 21:36:23,481] - processing one-to-many association mappings
 INFO [2011-04-05 21:36:23,481] - processing one-to-one association property references
 INFO [2011-04-05 21:36:23,481] - processing foreign key constraints
 INFO [2011-04-05 21:36:23,481] - processing filters (second pass)
 INFO [2011-04-05 21:36:23,482] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:36:23,482] - Configuring ConnectionProvider
DEBUG [2011-04-05 21:36:23,484] - Obtaining IDbConnection from Driver
DEBUG [2011-04-05 21:36:23,492] - Closing connection
DEBUG [2011-04-05 21:36:23,492] - Disposing of ConnectionProvider.
 INFO [2011-04-05 21:36:23,493] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:36:23,495] - Running hbm2ddl schema update
 INFO [2011-04-05 21:36:23,495] - fetching database metadata
 INFO [2011-04-05 21:36:23,495] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:36:23,495] - Configuring ConnectionProvider
DEBUG [2011-04-05 21:36:23,495] - Obtaining IDbConnection from Driver
 INFO [2011-04-05 21:36:23,497] - updating schema
 INFO [2011-04-05 21:36:23,501] - checking mappings queue
 INFO [2011-04-05 21:36:23,501] - processing one-to-many association mappings
 INFO [2011-04-05 21:36:23,501] - processing one-to-one association property references
 INFO [2011-04-05 21:36:23,501] - processing foreign key constraints
 INFO [2011-04-05 21:36:23,501] - processing filters (second pass)
 INFO [2011-04-05 21:36:23,501] - schema update complete
DEBUG [2011-04-05 21:36:23,501] - Closing connection
 INFO [2011-04-05 21:36:23,502] - checking mappings queue
 INFO [2011-04-05 21:36:23,502] - processing one-to-many association mappings
 INFO [2011-04-05 21:36:23,502] - processing one-to-one association property references
 INFO [2011-04-05 21:36:23,502] - processing foreign key constraints
 INFO [2011-04-05 21:36:23,502] - processing filters (second pass)
 INFO [2011-04-05 21:36:23,515] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:36:23,538] - Using dialect defined converter
 INFO [2011-04-05 21:36:23,538] - Generate SQL with comments: disabled
 INFO [2011-04-05 21:36:23,538] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:36:23,539] - Configuring ConnectionProvider
 INFO [2011-04-05 21:36:23,539] - Transaction factory: NHibernate.Transaction.AdoNetWithDistributedTransactionFactory
 INFO [2011-04-05 21:36:23,539] - Optimize cache for minimal puts: False
 INFO [2011-04-05 21:36:23,539] - Connection release mode: auto
 INFO [2011-04-05 21:36:23,539] - Default batch fetch size: 1
 INFO [2011-04-05 21:36:23,539] - Statistics: disabled
 INFO [2011-04-05 21:36:23,539] - Deleted entity synthetic identifier rollback: disabled
 INFO [2011-04-05 21:36:23,540] - Query translator: NHibernate.Hql.Ast.ANTLR.ASTQueryTranslatorFactory
 INFO [2011-04-05 21:36:23,541] - Query language substitutions: {}
 INFO [2011-04-05 21:36:23,542] - cache provider: NHibernate.Cache.NoCacheProvider, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
DEBUG [2011-04-05 21:36:23,542] - Wrap result sets: disabled
 INFO [2011-04-05 21:36:23,542] - Batcher factory: NHibernate.AdoNet.NonBatchingBatcherFactory, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
 INFO [2011-04-05 21:36:23,543] - Default entity-mode: Poco
 INFO [2011-04-05 21:36:23,543] - Named query checking : enabled
 INFO [2011-04-05 21:36:23,561] - building session factory
DEBUG [2011-04-05 21:36:23,562] - Session factory constructed with filter configurations : {}
DEBUG [2011-04-05 21:36:23,562] - instantiating session factory with properties: {'connection.provider'='NHibernate.Connection.DriverConnectionProvider', 'proxyfactory.factory_class'='NHibernate.ByteCode.Castle.ProxyFactoryFactory, NHibernate.ByteCode.Castle', 'connection.driver_class'='NHibernate.Driver.SqlClientDriver, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'dialect'='NHibernate.Dialect.MsSql2008Dialect, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'hibernate.dialect'='NHibernate.Dialect.MsSql2008Dialect, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'connection.connection_string'='Data Source=(local);Initial Catalog=NHibernateTest;Integrated Security=SSPI;'}
DEBUG [2011-04-05 21:36:23,563] - Obtaining IDbConnection from Driver
DEBUG [2011-04-05 21:36:23,572] - Closing connection
DEBUG [2011-04-05 21:36:23,574] - initializing class SessionFactoryObjectFactory
DEBUG [2011-04-05 21:36:23,575] - registered: c96d471232d4424586626f73352b5999(unnamed)
 INFO [2011-04-05 21:36:23,575] - no name configured
DEBUG [2011-04-05 21:36:23,575] - Instantiated session factory
DEBUG [2011-04-05 21:36:23,580] - Checking 0 named HQL queries
DEBUG [2011-04-05 21:36:23,580] - Checking 0 named SQL queries
DEBUG [2011-04-05 21:36:23,592] - [session-id=47558960-2755-4b5d-b837-a81d9d22ed39] opened session at timestamp: 634376361835, for session factory: [/c96d471232d4424586626f73352b5999]
DEBUG [2011-04-05 21:36:24,313] - unable to locate HQL query plan in cache; generating (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:36:24,528] - located HQL query plan in cache (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:36:24,531] - find: NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar]
DEBUG [2011-04-05 21:36:24,532] - named parameters: {}
DEBUG [2011-04-05 21:36:24,532] - after autocommit
DEBUG [2011-04-05 21:36:24,533] - transaction completion
DEBUG [2011-04-05 21:36:24,534] - aggressively releasing database connection
DEBUG [2011-04-05 21:36:33,519] - [session-id=3421d60c-0269-4dbb-beef-c91b4e075dbd] opened session at timestamp: 634376361935, for session factory: [/c96d471232d4424586626f73352b5999]
DEBUG [2011-04-05 21:36:33,520] - located HQL query plan in cache (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:36:33,520] - located HQL query plan in cache (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:36:33,521] - find: NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar]
DEBUG [2011-04-05 21:36:33,521] - named parameters: {}
DEBUG [2011-04-05 21:36:33,521] - after autocommit
DEBUG [2011-04-05 21:36:33,521] - transaction completion
DEBUG [2011-04-05 21:36:33,521] - aggressively releasing database connection
DEBUG [2011-04-05 21:38:13,365] - [session-id=6af39c50-cb87-4cf7-82ee-37d193d69502] opened session at timestamp: 634376362933, for session factory: [/c96d471232d4424586626f73352b5999]
DEBUG [2011-04-05 21:38:13,368] - located HQL query plan in cache (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:38:13,368] - located HQL query plan in cache (NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar])
DEBUG [2011-04-05 21:38:13,368] - find: NHibernate.Linq.NhQueryable`1[nhibernate_demo.Models.ChocolateBar]
DEBUG [2011-04-05 21:38:13,368] - named parameters: {}
DEBUG [2011-04-05 21:38:13,368] - after autocommit
DEBUG [2011-04-05 21:38:13,368] - transaction completion
DEBUG [2011-04-05 21:38:13,368] - aggressively releasing database connection
DEBUG [2011-04-05 21:38:13,426] - [session-id=3421d60c-0269-4dbb-beef-c91b4e075dbd] executing real Dispose(False)
DEBUG [2011-04-05 21:38:13,426] - [session-id=6af39c50-cb87-4cf7-82ee-37d193d69502] executing real Dispose(False)
 INFO [2011-04-05 21:38:26,286] - Starting up
 INFO [2011-04-05 21:41:01,926] - NHibernate 3.1.0.4000 (3.1.0.4000)
 INFO [2011-04-05 21:41:01,926] - hibernate-configuration section not found in application configuration file
 INFO [2011-04-05 21:41:01,927] - Bytecode provider name : lcg
 INFO [2011-04-05 21:41:01,928] - Using reflection optimizer
 INFO [2011-04-05 21:41:23,564] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:41:23,585] - checking mappings queue
 INFO [2011-04-05 21:41:23,585] - processing one-to-many association mappings
 INFO [2011-04-05 21:41:23,586] - processing one-to-one association property references
 INFO [2011-04-05 21:41:23,586] - processing foreign key constraints
 INFO [2011-04-05 21:41:23,586] - processing filters (second pass)
 INFO [2011-04-05 21:41:23,590] - checking mappings queue
 INFO [2011-04-05 21:41:23,590] - processing one-to-many association mappings
 INFO [2011-04-05 21:41:23,590] - processing one-to-one association property references
 INFO [2011-04-05 21:41:23,590] - processing foreign key constraints
 INFO [2011-04-05 21:41:23,590] - processing filters (second pass)
 INFO [2011-04-05 21:41:23,590] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:41:23,591] - Configuring ConnectionProvider
DEBUG [2011-04-05 21:41:23,592] - Obtaining IDbConnection from Driver
DEBUG [2011-04-05 21:41:23,600] - Closing connection
DEBUG [2011-04-05 21:41:23,600] - Disposing of ConnectionProvider.
 INFO [2011-04-05 21:41:23,601] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:41:23,602] - Running hbm2ddl schema update
 INFO [2011-04-05 21:41:23,602] - fetching database metadata
 INFO [2011-04-05 21:41:23,603] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:41:23,603] - Configuring ConnectionProvider
DEBUG [2011-04-05 21:41:23,603] - Obtaining IDbConnection from Driver
 INFO [2011-04-05 21:41:23,605] - updating schema
 INFO [2011-04-05 21:41:23,606] - checking mappings queue
 INFO [2011-04-05 21:41:23,606] - processing one-to-many association mappings
 INFO [2011-04-05 21:41:23,606] - processing one-to-one association property references
 INFO [2011-04-05 21:41:23,606] - processing foreign key constraints
 INFO [2011-04-05 21:41:23,606] - processing filters (second pass)
 INFO [2011-04-05 21:41:23,606] - schema update complete
DEBUG [2011-04-05 21:41:23,606] - Closing connection
 INFO [2011-04-05 21:41:23,607] - checking mappings queue
 INFO [2011-04-05 21:41:23,607] - processing one-to-many association mappings
 INFO [2011-04-05 21:41:23,607] - processing one-to-one association property references
 INFO [2011-04-05 21:41:23,607] - processing foreign key constraints
 INFO [2011-04-05 21:41:23,607] - processing filters (second pass)
 INFO [2011-04-05 21:41:23,613] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:41:23,632] - Using dialect defined converter
 INFO [2011-04-05 21:41:23,632] - Generate SQL with comments: disabled
 INFO [2011-04-05 21:41:23,632] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:41:23,632] - Configuring ConnectionProvider
 INFO [2011-04-05 21:41:23,632] - Transaction factory: NHibernate.Transaction.AdoNetWithDistributedTransactionFactory
 INFO [2011-04-05 21:41:23,633] - Optimize cache for minimal puts: False
 INFO [2011-04-05 21:41:23,633] - Connection release mode: auto
 INFO [2011-04-05 21:41:23,633] - Default batch fetch size: 1
 INFO [2011-04-05 21:41:23,633] - Statistics: disabled
 INFO [2011-04-05 21:41:23,633] - Deleted entity synthetic identifier rollback: disabled
 INFO [2011-04-05 21:41:23,634] - Query translator: NHibernate.Hql.Ast.ANTLR.ASTQueryTranslatorFactory
 INFO [2011-04-05 21:41:23,635] - Query language substitutions: {}
 INFO [2011-04-05 21:41:23,635] - cache provider: NHibernate.Cache.NoCacheProvider, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
DEBUG [2011-04-05 21:41:23,636] - Wrap result sets: disabled
 INFO [2011-04-05 21:41:23,636] - Batcher factory: NHibernate.AdoNet.NonBatchingBatcherFactory, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
 INFO [2011-04-05 21:41:23,637] - Default entity-mode: Poco
 INFO [2011-04-05 21:41:23,637] - Named query checking : enabled
 INFO [2011-04-05 21:41:23,652] - building session factory
DEBUG [2011-04-05 21:41:23,653] - Session factory constructed with filter configurations : {}
DEBUG [2011-04-05 21:41:23,653] - instantiating session factory with properties: {'connection.provider'='NHibernate.Connection.DriverConnectionProvider', 'proxyfactory.factory_class'='NHibernate.ByteCode.Castle.ProxyFactoryFactory, NHibernate.ByteCode.Castle', 'connection.driver_class'='NHibernate.Driver.SqlClientDriver, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'dialect'='NHibernate.Dialect.MsSql2008Dialect, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'hibernate.dialect'='NHibernate.Dialect.MsSql2008Dialect, NHibernate, Version=3.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4', 'connection.connection_string'='Data Source=(local);Initial Catalog=NHibernateTest;Integrated Security=SSPI;'}
DEBUG [2011-04-05 21:41:23,654] - Obtaining IDbConnection from Driver
DEBUG [2011-04-05 21:41:23,663] - Closing connection
DEBUG [2011-04-05 21:41:23,665] - initializing class SessionFactoryObjectFactory
